player,team,season
Ruiz Cervilla,Real Madrid,1956-1957
Santisteban,Real Madrid,1956-1957
Zarraga,Real Madrid,1956-1957
Alfredo Di Stefano,Real Madrid,1956-1957
Joseito,Real Madrid,1956-1957
Molowny,Real Madrid,1956-1957
Perez Paya,Real Madrid,1956-1957
Ferenc Puskas,Real Madrid,1956-1957
Luis Carniglia,Real Madrid,1956-1957
Berasaluce,Real Madrid,1957-1958
Rogelio Dominguez,Real Madrid,1957-1958
Juanito Alonso,Real Madrid,1957-1958
Becerril,Real Madrid,1957-1958
Marquitos,Real Madrid,1957-1958
Rafael Lesmes,Real Madrid,1957-1958
Jose Santamaria,Real Madrid,1957-1958
Atienza,Real Madrid,1957-1958
Gento,Real Madrid,1957-1958
Raymond Kopa,Real Madrid,1957-1958
Marsal,Real Madrid,1957-1958
Mateos,Real Madrid,1957-1958
Miguel Munoz,Real Madrid,1957-1958
Pereda,Real Madrid,1957-1958
Hector Rial,Real Madrid,1957-1958
Rubio,Real Madrid,1957-1958
Ruiz Cervilla,Real Madrid,1957-1958
Santisteban,Real Madrid,1957-1958
Zarraga,Real Madrid,1957-1958
Brunet,Real Madrid,1957-1958
Alfredo Di Stefano,Real Madrid,1957-1958
Joseito,Real Madrid,1957-1958
Ferenc Puskas,Real Madrid,1957-1958
Luis Carniglia,Real Madrid,1957-1958
Berasaluce,Real Madrid,1958-1959
Rogelio Dominguez,Real Madrid,1958-1959
Juanito Alonso,Real Madrid,1958-1959
Marquitos,Real Madrid,1958-1959
Miche,Real Madrid,1958-1959
Rafael Lesmes,Real Madrid,1958-1959
Jose Santamaria,Real Madrid,1958-1959
Atienza,Real Madrid,1958-1959
Didi,Real Madrid,1958-1959
Falin,Real Madrid,1958-1959
Gento,Real Madrid,1958-1959
Raymond Kopa,Real Madrid,1958-1959
Marsal,Real Madrid,1958-1959
Mateos,Real Madrid,1958-1959
Hector Ramos,Real Madrid,1958-1959
Hector Rial,Real Madrid,1958-1959
Ruiz Cervilla,Real Madrid,1958-1959
Santisteban,Real Madrid,1958-1959
Segurola,Real Madrid,1958-1959
Zarraga,Real Madrid,1958-1959
Alfredo Di Stefano,Real Madrid,1958-1959
Herrera,Real Madrid,1958-1959
Joseito,Real Madrid,1958-1959
Ferenc Puskas,Real Madrid,1958-1959
Luis Carniglia,Real Madrid,1958-1959
Bagur,Real Madrid,1959-1960
Berasaluce,Real Madrid,1959-1960
Rogelio Dominguez,Real Madrid,1959-1960
Juanito Alonso,Real Madrid,1959-1960
Marquitos,Real Madrid,1959-1960
Miche,Real Madrid,1959-1960
Pachin,Real Madrid,1959-1960
Pantaleon,Real Madrid,1959-1960
Rafael Lesmes,Real Madrid,1959-1960
Jose Santamaria,Real Madrid,1959-1960
Del Sol,Real Madrid,1959-1960
Didi,Real Madrid,1959-1960
Falin,Real Madrid,1959-1960
Gento,Real Madrid,1959-1960
Mateos,Real Madrid,1959-1960
Hector Rial,Real Madrid,1959-1960
Ruiz Cervilla,Real Madrid,1959-1960
Santisteban,Real Madrid,1959-1960
Vidal,Real Madrid,1959-1960
Zarraga,Real Madrid,1959-1960
Bueno,Real Madrid,1959-1960
Canario,Real Madrid,1959-1960
Alfredo Di Stefano,Real Madrid,1959-1960
Herrera,Real Madrid,1959-1960
Laszlo Kaszas,Real Madrid,1959-1960
Pepillo,Real Madrid,1959-1960
Ferenc Puskas,Real Madrid,1959-1960
Miguel Munoz,Real Madrid,1959-1960
Bagur,Real Madrid,1960-1961
Rogelio Dominguez,Real Madrid,1960-1961
Juanito Alonso,Real Madrid,1960-1961
Vicente Train,Real Madrid,1960-1961
Casado,Real Madrid,1960-1961
Marquitos,Real Madrid,1960-1961
Miche,Real Madrid,1960-1961
Pachin,Real Madrid,1960-1961
Jose Santamaria,Real Madrid,1960-1961
Del Sol,Real Madrid,1960-1961
Didi,Real Madrid,1960-1961
Gento,Real Madrid,1960-1961
Mateos,Real Madrid,1960-1961
Hector Rial,Real Madrid,1960-1961
Ruiz Cervilla,Real Madrid,1960-1961
Santisteban,Real Madrid,1960-1961
Vidal,Real Madrid,1960-1961
Villa,Real Madrid,1960-1961
Zarraga,Real Madrid,1960-1961
Bueno,Real Madrid,1960-1961
Canario,Real Madrid,1960-1961
Alfredo Di Stefano,Real Madrid,1960-1961
Herrera,Real Madrid,1960-1961
Ferenc Puskas,Real Madrid,1960-1961
Agne Simonsson,Real Madrid,1960-1961
Miguel Munoz,Real Madrid,1960-1961
Araquistain,Real Madrid,1961-1962
Betancort,Real Madrid,1961-1962
Vicente Train,Real Madrid,1961-1962
Casado,Real Madrid,1961-1962
Isidro Sanchez,Real Madrid,1961-1962
Marquitos,Real Madrid,1961-1962
Miera,Real Madrid,1961-1962
Pachin,Real Madrid,1961-1962
Jose Santamaria,Real Madrid,1961-1962
Del Sol,Real Madrid,1961-1962
Felix Ruiz,Real Madrid,1961-1962
Felo,Real Madrid,1961-1962
Gento,Real Madrid,1961-1962
Ruiz Cervilla,Real Madrid,1961-1962
Vidal,Real Madrid,1961-1962
Zarraga,Real Madrid,1961-1962
Bueno,Real Madrid,1961-1962
Canario,Real Madrid,1961-1962
Alfredo Di Stefano,Real Madrid,1961-1962
Pepillo,Real Madrid,1961-1962
Ferenc Puskas,Real Madrid,1961-1962
Tejada,Real Madrid,1961-1962
Miguel Munoz,Real Madrid,1961-1962
Araquistain,Real Madrid,1962-1963
Garcia Fernandez,Real Madrid,1962-1963
Vicente Train,Real Madrid,1962-1963
Casado,Real Madrid,1962-1963
Isidro Sanchez,Real Madrid,1962-1963
Miera,Real Madrid,1962-1963
Pachin,Real Madrid,1962-1963
Jose Santamaria,Real Madrid,1962-1963
Felix Ruiz,Real Madrid,1962-1963
Felo,Real Madrid,1962-1963
Gento,Real Madrid,1962-1963
Lucien Muller,Real Madrid,1962-1963
Zoco,Real Madrid,1962-1963
Amancio,Real Madrid,1962-1963
Bueno,Real Madrid,1962-1963
Yanko Daucik,Real Madrid,1962-1963
Alfredo Di Stefano,Real Madrid,1962-1963
Evaristo,Real Madrid,1962-1963
Ferenc Puskas,Real Madrid,1962-1963
Tejada,Real Madrid,1962-1963
Miguel Munoz,Real Madrid,1962-1963
Araquistain,Real Madrid,1963-1964
Betancort,Real Madrid,1963-1964
Vicente Train,Real Madrid,1963-1964
Casado,Real Madrid,1963-1964
Echarri,Real Madrid,1963-1964
Isidro Sanchez,Real Madrid,1963-1964
Maestro,Real Madrid,1963-1964
Miera,Real Madrid,1963-1964
Pachin,Real Madrid,1963-1964
Jose Santamaria,Real Madrid,1963-1964
Felix Ruiz,Real Madrid,1963-1964
Felo,Real Madrid,1963-1964
Gento,Real Madrid,1963-1964
Lucien Muller,Real Madrid,1963-1964
Pipi Suarez,Real Madrid,1963-1964
Santisteban,Real Madrid,1963-1964
Zoco,Real Madrid,1963-1964
Amancio,Real Madrid,1963-1964
Bueno,Real Madrid,1963-1964
Yanko Daucik,Real Madrid,1963-1964
Alfredo Di Stefano,Real Madrid,1963-1964
Evaristo,Real Madrid,1963-1964
Ferenc Puskas,Real Madrid,1963-1964
Serena,Real Madrid,1963-1964
Miguel Munoz,Real Madrid,1963-1964
Carmelo Cedrun,Espanyol Barcelona,1964-1965
Piris,Espanyol Barcelona,1964-1965
Abel Hernandez,Espanyol Barcelona,1964-1965
Alfonso Cardona,Espanyol Barcelona,1964-1965
Barnils,Espanyol Barcelona,1964-1965
Bartoli,Espanyol Barcelona,1964-1965
Ignacio Bergara,Espanyol Barcelona,1964-1965
Juan Manuel,Espanyol Barcelona,1964-1965
Janos Kuszmann,Espanyol Barcelona,1964-1965
Navarro,Espanyol Barcelona,1964-1965
Osorio,Espanyol Barcelona,1964-1965
Riera,Espanyol Barcelona,1964-1965
Jesus Tartilan,Espanyol Barcelona,1964-1965
Ramirez,Espanyol Barcelona,1964-1965
Vall,Espanyol Barcelona,1964-1965
Zoltan Czibor,Espanyol Barcelona,1964-1965
Alfredo Di Stefano,Espanyol Barcelona,1964-1965
Idigoras,Espanyol Barcelona,1964-1965
Indio,Espanyol Barcelona,1964-1965
Laszlo Kaszas,Espanyol Barcelona,1964-1965
Branislav Kubala,Espanyol Barcelona,1964-1965
Ladislav Kubala,Espanyol Barcelona,1964-1965
Martinez Vilaseca,Espanyol Barcelona,1964-1965
Mohamed Riaji,Espanyol Barcelona,1964-1965
Rodilla,Espanyol Barcelona,1964-1965
Tejada,Espanyol Barcelona,1964-1965
Bertomeu,Espanyol Barcelona,1965-1966
Carmelo Cedrun,Espanyol Barcelona,1965-1966
Piris,Espanyol Barcelona,1965-1966
Barnils,Espanyol Barcelona,1965-1966
Ignacio Bergara,Espanyol Barcelona,1965-1966
Juan Manuel,Espanyol Barcelona,1965-1966
Janos Kuszmann,Espanyol Barcelona,1965-1966
Mingorance,Espanyol Barcelona,1965-1966
Navarro,Espanyol Barcelona,1965-1966
Osorio,Espanyol Barcelona,1965-1966
Riera,Espanyol Barcelona,1965-1966
Sabate,Espanyol Barcelona,1965-1966
Alvarez,Espanyol Barcelona,1965-1966
Aumedes,Espanyol Barcelona,1965-1966
Boy,Espanyol Barcelona,1965-1966
Granero,Espanyol Barcelona,1965-1966
Ramirez,Espanyol Barcelona,1965-1966
Ramoni,Espanyol Barcelona,1965-1966
Amas,Espanyol Barcelona,1965-1966
Alfredo Di Stefano,Espanyol Barcelona,1965-1966
Idigoras,Espanyol Barcelona,1965-1966
Jose Maria,Espanyol Barcelona,1965-1966
Laszlo Kaszas,Espanyol Barcelona,1965-1966
Ladislav Kubala,Espanyol Barcelona,1965-1966
Martinez Vilaseca,Espanyol Barcelona,1965-1966
Miralles,Espanyol Barcelona,1965-1966
Cayetano Re,Espanyol Barcelona,1965-1966
Rodilla,Espanyol Barcelona,1965-1966
Rodri,Espanyol Barcelona,1965-1966
Antonio Roma,Boca Juniors,1969-1970
Silvio Marzolini,Boca Juniors,1969-1970
Julio Melendez,Boca Juniors,1969-1970
Miguel Nicolau,Boca Juniors,1969-1970
Armando Ovide,Boca Juniors,1969-1970
Roberto Rogel,Boca Juniors,1969-1970
Antonio Cabrera,Boca Juniors,1969-1970
Omar Larrosa,Boca Juniors,1969-1970
Norberto Madurga,Boca Juniors,1969-1970
Orlando Medina,Boca Juniors,1969-1970
Ruben Palacios,Boca Juniors,1969-1970
Ignacio Pena,Boca Juniors,1969-1970
Abel Perez,Boca Juniors,1969-1970
Antonio Rattin,Boca Juniors,1969-1970
Raul Savoy,Boca Juniors,1969-1970
Ruben Sune,Boca Juniors,1969-1970
Cesar Britez,Boca Juniors,1969-1970
Jorge Coch,Boca Juniors,1969-1970
Hugo Curioni,Boca Juniors,1969-1970
Nicolas Novello,Boca Juniors,1969-1970
Mario Pardo,Boca Juniors,1969-1970
Oscar Pianetti,Boca Juniors,1969-1970
Ramon Ponce,Boca Juniors,1969-1970
Angel Rojas,Boca Juniors,1969-1970
Ruben Sanchez,Boca Juniors,1969-1970
Aldo Villagra,Boca Juniors,1969-1970
Alfredo Di Stefano,Boca Juniors,1969-1970
Jose Maria Silvero,Boca Juniors,1969-1970
Abelardo,Valencia CF,1970-1971
Pesudo,Valencia CF,1970-1971
Anton,Valencia CF,1970-1971
Barrachina,Valencia CF,1970-1971
Jesus Martinez,Valencia CF,1970-1971
Anibal Perez,Valencia CF,1970-1971
Sol,Valencia CF,1970-1971
Tatono,Valencia CF,1970-1971
Vidagany,Valencia CF,1970-1971
Claramunt,Valencia CF,1970-1971
Paquito,Valencia CF,1970-1971
Ansola,Valencia CF,1970-1971
Enrique Claramunt,Valencia CF,1970-1971
Forment,Valencia CF,1970-1971
Fuertes,Valencia CF,1970-1971
Vicente Jara,Valencia CF,1970-1971
Nebot,Valencia CF,1970-1971
Pellicer,Valencia CF,1970-1971
Poli,Valencia CF,1970-1971
Sergio Lloret,Valencia CF,1970-1971
Uriarte,Valencia CF,1970-1971
Oscar Valdez,Valencia CF,1970-1971
Alfredo Di Stefano,Valencia CF,1970-1971
Abelardo,Valencia CF,1971-1972
Cota,Valencia CF,1971-1972
Melendez,Valencia CF,1971-1972
Anton,Valencia CF,1971-1972
Barrachina,Valencia CF,1971-1972
Jesus Martinez,Valencia CF,1971-1972
Anibal Perez,Valencia CF,1971-1972
Sol,Valencia CF,1971-1972
Tatono,Valencia CF,1971-1972
Vidagany,Valencia CF,1971-1972
Claramunt,Valencia CF,1971-1972
Lico,Valencia CF,1971-1972
Paquito,Valencia CF,1971-1972
Miguel Adorno,Valencia CF,1971-1972
Enrique Claramunt,Valencia CF,1971-1972
Forment,Valencia CF,1971-1972
Fuertes,Valencia CF,1971-1972
Quino,Valencia CF,1971-1972
Sergio Lloret,Valencia CF,1971-1972
Uriarte,Valencia CF,1971-1972
Oscar Valdez,Valencia CF,1971-1972
Alfredo Di Stefano,Valencia CF,1971-1972
Abelardo,Valencia CF,1972-1973
Balaguer,Valencia CF,1972-1973
Melendez,Valencia CF,1972-1973
Anton,Valencia CF,1972-1973
Arango,Valencia CF,1972-1973
Barrachina,Valencia CF,1972-1973
Gonzalez Vargas,Valencia CF,1972-1973
Jesus Martinez,Valencia CF,1972-1973
Anibal Perez,Valencia CF,1972-1973
Sol,Valencia CF,1972-1973
Vidagany,Valencia CF,1972-1973
Claramunt,Valencia CF,1972-1973
Lico,Valencia CF,1972-1973
Manolete,Valencia CF,1972-1973
Miguel Adorno,Valencia CF,1972-1973
Enrique Claramunt,Valencia CF,1972-1973
Forment,Valencia CF,1972-1973
Fuertes,Valencia CF,1972-1973
Pellicer,Valencia CF,1972-1973
Pepin,Valencia CF,1972-1973
Quino,Valencia CF,1972-1973
Sergio Lloret,Valencia CF,1972-1973
Uriarte,Valencia CF,1972-1973
Oscar Valdez,Valencia CF,1972-1973
Alfredo Di Stefano,Valencia CF,1972-1973
Abelardo,Valencia CF,1973-1974
Balaguer,Valencia CF,1973-1974
Melendez,Valencia CF,1973-1974
Anton,Valencia CF,1973-1974
Arango,Valencia CF,1973-1974
Barrachina,Valencia CF,1973-1974
Cervero,Valencia CF,1973-1974
Jesus Martinez,Valencia CF,1973-1974
Anibal Perez,Valencia CF,1973-1974
Sol,Valencia CF,1973-1974
Vidagany,Valencia CF,1973-1974
Claramunt,Valencia CF,1973-1974
Kurt Jara,Valencia CF,1973-1974
Lico,Valencia CF,1973-1974
Manolete,Valencia CF,1973-1974
Victor Soler,Valencia CF,1973-1974
Miguel Adorno,Valencia CF,1973-1974
Enrique Claramunt,Valencia CF,1973-1974
Forment,Valencia CF,1973-1974
Salif Keita,Valencia CF,1973-1974
Pepin,Valencia CF,1973-1974
Quino,Valencia CF,1973-1974
Sergio Lloret,Valencia CF,1973-1974
Oscar Valdez,Valencia CF,1973-1974
Alfredo Di Stefano,Valencia CF,1973-1974
Alcazar,Rayo Vallecano,1975-1976
Anero,Rayo Vallecano,1975-1976
Jose Maria,Rayo Vallecano,1975-1976
Luna,Rayo Vallecano,1975-1976
Manolito,Rayo Vallecano,1975-1976
Uceda,Rayo Vallecano,1975-1976
Felines,Rayo Vallecano,1975-1976
Fermin,Rayo Vallecano,1975-1976
Francisco,Rayo Vallecano,1975-1976
Guzman,Rayo Vallecano,1975-1976
Potele,Rayo Vallecano,1975-1976
Alfredo Di Stefano,Rayo Vallecano,1975-1976
Dragomir Racic,CD Castellón,1976-1977
Babiloni,CD Castellón,1976-1977
Salvatierra,CD Castellón,1976-1977
Parra,CD Castellón,1976-1977
Ribes,CD Castellón,1976-1977
Jose Cioffi,CD Castellón,1976-1977
Faubel,CD Castellón,1976-1977
Lleida,CD Castellón,1976-1977
Pichi Alonso,CD Castellón,1976-1977
Alfredo Di Stefano,CD Castellón,1976-1977
